"productId","language","packageName","version","referenceUrl"
"109","CSHARP","Google.Cloud.SecurityCenter.V1P1Beta1","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.SecurityCenter.V1P1Beta1/latest"
"469","CSHARP","Google.Cloud.ResourceSettings.V1","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.ResourceSettings.V1/latest"
"58","GO","errorreporting/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/errorreporting/latest/apiv1beta1"
"205","NODEJS","@google-cloud/automl","GA","https://cloud.google.com/nodejs/docs/reference/automl/latest"
"46","NODEJS","@google-cloud/billing","GA","https://cloud.google.com/nodejs/docs/reference/billing/latest"
"55","RUBY","google-cloud-debugger-v2","BETA","https://googleapis.dev/ruby/google-cloud-debugger-v2/latest"
"294","NODEJS","@google-cloud/private-catalog","BETA","https://cloud.google.com/nodejs/docs/reference/private-catalog/latest"
"311","PYTHON","google-cloud-secret-manager","GA","https://googleapis.dev/python/secretmanager/latest"
"226","NODEJS","@google-cloud/documentai","GA","https://cloud.google.com/nodejs/docs/reference/documentai/latest"
"226","PYTHON","google-cloud-documentai","GA","https://googleapis.dev/python/documentai/latest"
"483","PYTHON","google-cloud-contact-center-insights","BETA","https://googleapis.dev/python/contactcenterinsights/latest"
"14","RUBY","google-cloud-datastore-admin-v1","BETA","https://googleapis.dev/ruby/google-cloud-datastore-admin-v1/latest"
"20","PYTHON","google-cloud-kms","GA","https://googleapis.dev/python/cloudkms/latest"
"72","JAVA","google-cloud-websecurityscanner","GA","https://googleapis.dev/java/google-cloud-websecurityscanner/latest/"
"3","CSHARP","Google.Cloud.Speech.V1","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Speech.V1/latest"
"501","GO","networksecurity/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/networksecurity/latest/apiv1beta1"
"294","GO","privatecatalog/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/privatecatalog/latest/apiv1beta1"
"75","PYTHON","google-cloud-video-transcoder","BETA","https://googleapis.dev/python/transcoder/latest"
"17","NODEJS","@google-cloud/logging-winston","GA","https://cloud.google.com/nodejs/docs/reference/logging-winston/latest"
"17","NODEJS","@google-cloud/logging","GA","https://cloud.google.com/nodejs/docs/reference/logging/latest"
"10","GO","dlp/apiv2","GA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/dlp/latest/apiv2"
"54","JAVA","google-cloud-dataproc","GA","https://googleapis.dev/java/google-cloud-dataproc/latest/"
"133","CSHARP","FirebaseAdmin","GA","https://github.com/firebase/firebase-admin-dotnet"
"15","CSHARP","Google.Cloud.Firestore","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Firestore/latest"
"56","JAVA","google-cloud-dns-parent","GA","https://googleapis.dev/java/google-cloud-clients/latest/index.html?com/google/cloud/dns/package-summary.html"
"362","RUBY","google-cloud-container","GA","https://googleapis.dev/ruby/google-cloud-container/latest"
"110","PYTHON","google-cloud-storage-transfer","GA","https://googleapis.dev/python/storagetransfer/latest"
"13","JAVA","google-cloud-nio-examples","BETA","https://googleapis.dev/java/google-cloud-nio/latest"
"331","RUBY","google-cloud-media_translation","BETA","https://googleapis.dev/ruby/google-cloud-media_translation/latest"
"49","PYTHON","google-cloud-build","GA","https://googleapis.dev/python/cloudbuild/latest"
"4","JAVA","google-cloud-translate","GA","https://googleapis.dev/java/google-cloud-translate/latest/"
"359","CSHARP","Google.Cloud.BigQuery.Connection.V1","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.BigQuery.Connection.V1/latest"
"33","JAVA","google-cloud-bigtable","GA","https://googleapis.dev/java/google-cloud-bigtable/latest/index.html"
"431","RUBY","google-area120-tables","BETA","https://googleapis.dev/ruby/google-area120-tables/latest"
"197","RUBY","google-cloud-data_catalog-v1","BETA","https://googleapis.dev/ruby/google-cloud-data_catalog-v1/latest"
"417","RUBY","google-cloud-security-private_ca-v1","BETA","https://googleapis.dev/ruby/google-cloud-security-private_ca-v1/latest"
"60","CSHARP","Google.Cloud.Iam.V1","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Iam.V1/latest"
"359","GO","bigquery/connection/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/bigquery/latest/connection/apiv1beta1"
